prompt,classname,classidx
"a photo of a Mallard, a type of bird.",Mallard,86
"a photo of a Western_Meadowlark, a type of bird.",Western_Meadowlark,87
"a photo of a Hooded_Merganser, a type of bird.",Hooded_Merganser,88
"a photo of a Red_breasted_Merganser, a type of bird.",Red_breasted_Merganser,89
"a photo of a Mockingbird, a type of bird.",Mockingbird,90
"a photo of a Nighthawk, a type of bird.",Nighthawk,91
"a photo of a Clark_Nutcracker, a type of bird.",Clark_Nutcracker,92
"a photo of a White_breasted_Nuthatch, a type of bird.",White_breasted_Nuthatch,93
"a photo of a Baltimore_Oriole, a type of bird.",Baltimore_Oriole,94
"a photo of a Hooded_Oriole, a type of bird.",Hooded_Oriole,95
"a photo of a Orchard_Oriole, a type of bird.",Orchard_Oriole,96
"a photo of a Scott_Oriole, a type of bird.",Scott_Oriole,97
"a photo of a Ovenbird, a type of bird.",Ovenbird,98
"a photo of a Brown_Pelican, a type of bird.",Brown_Pelican,99
"a photo of a White_Pelican, a type of bird.",White_Pelican,100
"a photo of a Western_Wood_Pewee, a type of bird.",Western_Wood_Pewee,101
"a photo of a Sayornis, a type of bird.",Sayornis,102
"a photo of a American_Pipit, a type of bird.",American_Pipit,103
"a photo of a Whip_poor_Will, a type of bird.",Whip_poor_Will,104
"a photo of a Horned_Puffin, a type of bird.",Horned_Puffin,105
"a photo of a Common_Raven, a type of bird.",Common_Raven,106
"a photo of a White_necked_Raven, a type of bird.",White_necked_Raven,107
"a photo of a American_Redstart, a type of bird.",American_Redstart,108
"a photo of a Geococcyx, a type of bird.",Geococcyx,109
"a photo of a Loggerhead_Shrike, a type of bird.",Loggerhead_Shrike,110
"a photo of a Great_Grey_Shrike, a type of bird.",Great_Grey_Shrike,111
"a photo of a Baird_Sparrow, a type of bird.",Baird_Sparrow,112
"a photo of a Black_throated_Sparrow, a type of bird.",Black_throated_Sparrow,113
"a photo of a Brewer_Sparrow, a type of bird.",Brewer_Sparrow,114
"a photo of a Chipping_Sparrow, a type of bird.",Chipping_Sparrow,115
"a photo of a Clay_colored_Sparrow, a type of bird.",Clay_colored_Sparrow,116
"a photo of a House_Sparrow, a type of bird.",House_Sparrow,117
"a photo of a Field_Sparrow, a type of bird.",Field_Sparrow,118
"a photo of a Fox_Sparrow, a type of bird.",Fox_Sparrow,119
"a photo of a Grasshopper_Sparrow, a type of bird.",Grasshopper_Sparrow,120
"a photo of a Harris_Sparrow, a type of bird.",Harris_Sparrow,121
"a photo of a Henslow_Sparrow, a type of bird.",Henslow_Sparrow,122
"a photo of a Le_Conte_Sparrow, a type of bird.",Le_Conte_Sparrow,123
"a photo of a Lincoln_Sparrow, a type of bird.",Lincoln_Sparrow,124
"a photo of a Nelson_Sharp_tailed_Sparrow, a type of bird.",Nelson_Sharp_tailed_Sparrow,125
"a photo of a Savannah_Sparrow, a type of bird.",Savannah_Sparrow,126
"a photo of a Seaside_Sparrow, a type of bird.",Seaside_Sparrow,127
"a photo of a Song_Sparrow, a type of bird.",Song_Sparrow,128
"a photo of a Tree_Sparrow, a type of bird.",Tree_Sparrow,129
"a photo of a Vesper_Sparrow, a type of bird.",Vesper_Sparrow,130
"a photo of a White_crowned_Sparrow, a type of bird.",White_crowned_Sparrow,131
"a photo of a White_throated_Sparrow, a type of bird.",White_throated_Sparrow,132
"a photo of a Cape_Glossy_Starling, a type of bird.",Cape_Glossy_Starling,133
"a photo of a Bank_Swallow, a type of bird.",Bank_Swallow,134
"a photo of a Barn_Swallow, a type of bird.",Barn_Swallow,135
"a photo of a Cliff_Swallow, a type of bird.",Cliff_Swallow,136
"a photo of a Tree_Swallow, a type of bird.",Tree_Swallow,137
"a photo of a Scarlet_Tanager, a type of bird.",Scarlet_Tanager,138
"a photo of a Summer_Tanager, a type of bird.",Summer_Tanager,139
"a photo of a Arctic_Tern, a type of bird.",Arctic_Tern,140
"a photo of a Black_Tern, a type of bird.",Black_Tern,141
"a photo of a Caspian_Tern, a type of bird.",Caspian_Tern,142
"a photo of a Common_Tern, a type of bird.",Common_Tern,143
"a photo of a Elegant_Tern, a type of bird.",Elegant_Tern,144
"a photo of a Forsters_Tern, a type of bird.",Forsters_Tern,145
"a photo of a Least_Tern, a type of bird.",Least_Tern,146
"a photo of a Green_tailed_Towhee, a type of bird.",Green_tailed_Towhee,147
"a photo of a Brown_Thrasher, a type of bird.",Brown_Thrasher,148
"a photo of a Sage_Thrasher, a type of bird.",Sage_Thrasher,149
"a photo of a Black_capped_Vireo, a type of bird.",Black_capped_Vireo,150
"a photo of a Blue_headed_Vireo, a type of bird.",Blue_headed_Vireo,151
"a photo of a Philadelphia_Vireo, a type of bird.",Philadelphia_Vireo,152
"a photo of a Red_eyed_Vireo, a type of bird.",Red_eyed_Vireo,153
"a photo of a Warbling_Vireo, a type of bird.",Warbling_Vireo,154
"a photo of a White_eyed_Vireo, a type of bird.",White_eyed_Vireo,155
"a photo of a Yellow_throated_Vireo, a type of bird.",Yellow_throated_Vireo,156
"a photo of a Bay_breasted_Warbler, a type of bird.",Bay_breasted_Warbler,157
"a photo of a Black_and_white_Warbler, a type of bird.",Black_and_white_Warbler,158
"a photo of a Black_throated_Blue_Warbler, a type of bird.",Black_throated_Blue_Warbler,159
"a photo of a Blue_winged_Warbler, a type of bird.",Blue_winged_Warbler,160
"a photo of a Canada_Warbler, a type of bird.",Canada_Warbler,161
"a photo of a Cape_May_Warbler, a type of bird.",Cape_May_Warbler,162
"a photo of a Cerulean_Warbler, a type of bird.",Cerulean_Warbler,163
"a photo of a Chestnut_sided_Warbler, a type of bird.",Chestnut_sided_Warbler,164
"a photo of a Golden_winged_Warbler, a type of bird.",Golden_winged_Warbler,165
"a photo of a Hooded_Warbler, a type of bird.",Hooded_Warbler,166
"a photo of a Kentucky_Warbler, a type of bird.",Kentucky_Warbler,167
"a photo of a Magnolia_Warbler, a type of bird.",Magnolia_Warbler,168
"a photo of a Mourning_Warbler, a type of bird.",Mourning_Warbler,169
"a photo of a Myrtle_Warbler, a type of bird.",Myrtle_Warbler,170
"a photo of a Nashville_Warbler, a type of bird.",Nashville_Warbler,171
"a photo of a Orange_crowned_Warbler, a type of bird.",Orange_crowned_Warbler,172
"a photo of a Palm_Warbler, a type of bird.",Palm_Warbler,173
"a photo of a Pine_Warbler, a type of bird.",Pine_Warbler,174
"a photo of a Prairie_Warbler, a type of bird.",Prairie_Warbler,175
"a photo of a Prothonotary_Warbler, a type of bird.",Prothonotary_Warbler,176
"a photo of a Swainson_Warbler, a type of bird.",Swainson_Warbler,177
"a photo of a Tennessee_Warbler, a type of bird.",Tennessee_Warbler,178
"a photo of a Wilson_Warbler, a type of bird.",Wilson_Warbler,179
"a photo of a Worm_eating_Warbler, a type of bird.",Worm_eating_Warbler,180
"a photo of a Yellow_Warbler, a type of bird.",Yellow_Warbler,181
"a photo of a Northern_Waterthrush, a type of bird.",Northern_Waterthrush,182
"a photo of a Louisiana_Waterthrush, a type of bird.",Louisiana_Waterthrush,183
"a photo of a Bohemian_Waxwing, a type of bird.",Bohemian_Waxwing,184
"a photo of a Cedar_Waxwing, a type of bird.",Cedar_Waxwing,185
"a photo of a American_Three_toed_Woodpecker, a type of bird.",American_Three_toed_Woodpecker,186
"a photo of a Pileated_Woodpecker, a type of bird.",Pileated_Woodpecker,187
"a photo of a Red_bellied_Woodpecker, a type of bird.",Red_bellied_Woodpecker,188
"a photo of a Red_cockaded_Woodpecker, a type of bird.",Red_cockaded_Woodpecker,189
"a photo of a Red_headed_Woodpecker, a type of bird.",Red_headed_Woodpecker,190
"a photo of a Downy_Woodpecker, a type of bird.",Downy_Woodpecker,191
"a photo of a Bewick_Wren, a type of bird.",Bewick_Wren,192
"a photo of a Cactus_Wren, a type of bird.",Cactus_Wren,193
"a photo of a Carolina_Wren, a type of bird.",Carolina_Wren,194
"a photo of a House_Wren, a type of bird.",House_Wren,195
"a photo of a Marsh_Wren, a type of bird.",Marsh_Wren,196
"a photo of a Rock_Wren, a type of bird.",Rock_Wren,197
"a photo of a Winter_Wren, a type of bird.",Winter_Wren,198
"a photo of a Common_Yellowthroat, a type of bird.",Common_Yellowthroat,199
